City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,floro,61.5996,5.0328,8.98,57,62,2.06,NO,1698269828
204,concepcion,-36.827,-73.0498,17.89,55,0,8.23,CL,1698269829
205,mantua,45.1667,10.7833,13.88,76,100,0.32,IT,1698269830
206,st. john's,47.5649,-52.7093,10.5,87,75,9.26,CA,1698269830
207,tiksi,71.6872,128.8694,-12.29,89,95,1.59,RU,1698269831
208,invercargill,-46.4,168.35,9.45,89,65,6.71,NZ,1698269832
209,kodiak,57.79,-152.4072,6.73,70,0,3.09,US,1698269604
210,maun,-19.9833,23.4167,26.98,13,0,0.51,BW,1698269833
211,viedma,-40.8135,-62.9967,19.22,38,1,4.78,AR,1698269542
212,remire-montjoly,4.9167,-52.2667,29.02,74,0,4.12,GF,1698269835
213,gornji milanovac,44.0333,20.45,16.05,79,99,1.99,RS,1698269836
214,nema,57.5067,50.5011,-7.47,97,10,2.65,RU,1698269837
215,macusani,-14.0833,-70.4333,4.63,92,94,1.39,PE,1698269838
216,zarechnyy,53.2036,45.1923,0.96,54,33,0.96,RU,1698269838
217,tynda,55.1667,124.7167,-3.44,70,100,3.99,RU,1698269593
218,mount gambier,-37.8333,140.7667,10.89,64,65,4.3,AU,1698269762
219,newman,37.3138,-121.0208,24.47,42,47,1.79,US,1698269841
220,luderitz,-26.6481,15.1594,16.33,83,1,3.29,NA,1698269842
221,tolanaro,-25.0319,46.9987,23.04,78,20,2.57,MG,1698269843
222,as suwayq,23.8494,57.4386,28.63,61,100,2.14,OM,1698269844
223,kakching,24.4833,93.9833,17.75,99,98,0.05,IN,1698269844
224,emerald,-23.5333,148.1667,23.52,61,0,2.45,AU,1698269714
225,qaqortoq,60.7167,-46.0333,0.64,79,100,2.5,GL,1698269846
226,jincheng,35.5022,112.8328,14.67,33,68,2.57,CN,1698269847
227,andergrove,-21.0833,149.1833,24.25,70,5,1.47,AU,1698269849
228,peace river,56.2501,-117.286,-4.83,68,100,2.57,CA,1698269845
229,rio grande,-32.035,-52.0986,21.06,76,66,7.19,BR,1698269851
230,bijapur,16.8333,75.7,21.44,52,9,3.87,IN,1698269611
231,tokar,18.4254,37.729,29.53,71,31,4.77,SD,1698269852
232,anse-bertrand,16.4721,-61.5078,28.9,100,24,2.58,GP,1698269854
233,itanhem,-17.1664,-40.33,29.34,53,90,2.72,BR,1698269855
234,tambura,5.6,27.4667,20.87,93,98,0.59,SS,1698269856
235,canicattini bagni,37.0329,15.0634,20.71,77,26,2.41,IT,1698269857
236,bathsheba,13.2167,-59.5167,28.34,83,40,2.57,BB,1698269858
237,lensk,60.7253,114.9278,-2.66,85,100,2.26,RU,1698269824
238,kalix,65.853,23.1565,1.31,71,100,5.27,SE,1698269860
239,ola,59.5833,151.2833,-12.14,69,3,3.65,RU,1698269860
240,freetown,8.484,-13.2299,25.84,89,75,3.09,SL,1698269862
241,haiku-pauwela,20.9219,-156.3051,28.01,63,40,5.14,US,1698269863
242,tagta,41.6504,59.9164,11.97,76,0,4.12,TM,1698269864
243,freeport,40.6576,-73.5832,22.99,71,0,4.12,US,1698269865
244,new norfolk,-42.7826,147.0587,8.17,72,82,3.54,AU,1698269866
245,lewiston orchards,46.3804,-116.9754,8.17,83,100,2.57,US,1698269866
246,esmeraldas,-19.7625,-44.3139,30.48,59,95,0.96,BR,1698269867
247,nishinoomote,30.7333,131.0,20.71,59,0,2.62,JP,1698269868
248,kirando,-7.4167,30.6,24.72,72,98,4.59,TZ,1698269869
249,sterling,39.0062,-77.4286,25.16,52,0,2.06,US,1698269814
250,menongue,-14.6585,17.691,19.28,82,100,2.22,AO,1698269871
251,puerto carreno,6.189,-67.4859,29.99,74,40,2.57,CO,1698269580
252,lutsk,50.7593,25.3424,14.01,78,100,5.5,UA,1698269873
253,qamdo,31.1667,97.2333,-3.6,57,44,1.42,CN,1698269874
254,ust-nera,64.5667,143.2,-23.08,98,91,1.36,RU,1698269603
255,mendoza,-32.8908,-68.8272,21.74,46,75,1.03,AR,1698269736
256,horta,38.5333,-28.6333,18.34,82,100,4.92,PT,1698269877
257,faya-largeau,17.9257,19.1043,25.78,21,2,6.25,TD,1698269878
258,bodo,67.28,14.405,3.86,79,75,6.69,NO,1698269698
259,conceicao da barra,-18.5933,-39.7322,25.59,86,82,3.24,BR,1698269880
260,madang,-5.2246,145.7966,25.79,89,100,0.12,PG,1698269882
261,utrik,11.2278,169.8474,27.38,72,54,4.26,MH,1698269883
262,serenje,-13.2325,30.2352,21.7,36,2,1.85,ZM,1698269883
263,brookings,44.3114,-96.7984,10.0,93,100,5.14,US,1698269643
264,tongchuanshi,35.0806,109.0897,14.15,35,98,3.03,CN,1698269885
265,poronaysk,49.2167,143.1167,7.19,84,100,3.06,RU,1698269886
266,ebaye,8.7748,167.7392,30.01,74,40,2.57,MH,1698269887
267,karratha,-20.7377,116.8463,29.55,18,2,8.46,AU,1698269889
268,antigonish,45.6169,-61.9986,14.9,83,82,1.34,CA,1698269890
269,broken hill,-31.95,141.4333,8.79,50,0,9.57,AU,1698269890
270,vadso,70.0744,29.7487,-1.91,80,75,8.23,NO,1698269891
271,caleta olivia,-46.4393,-67.5281,19.78,28,45,11.05,AR,1698269892
272,howard springs,-12.497,131.047,26.95,91,88,1.52,AU,1698269893
273,trincomalee,8.5711,81.2335,26.85,79,16,2.27,LK,1698269894
